Title,Rating,Votes,Duration
368. My Boo,6.1, (755),2h 5m
369. Naalkane Aayama,7.3, (2.8K),1h 48m
370. A Very Special Terrifier Christmas,5.3, (42),1h 10m
371. Thaghut,5.8, (349),1h 42m
372. Ghost Game,3.4, (398),1h 26m
373. Winter Island,4.6, (192),1h 42m
374. Don't Make a Sound,3.5, (50),1h 20m
375. Nudus,6.5, (53),1h 34m
376. Festival of the Living Dead,4.3, (686),1h 28m
377. What Lurks Beneath,4.2, (819),1h 42m
378. Kuyang,5.2, (518),1h 37m
380. Kromoleo,3.9, (280),1h 20m
381. Nokturno,3.7, (234),1h 39m
382. Butchers Book Three: Bonesaw,4.9, (145),1h 47m
384. Daft State,6.0, (53),18+
385. Skeletons in the Closet,3.0, (580),1h 32m
386. The Legend of Lake Hollow,3.7, (569),1h 28m
387. Bull Shark 3,2.7, (140),1h 16m
388. Camp Pleasant Lake,3.3, (2.4K),1h 30m
389. The Backrooms,8.2, (16),1h 3m
390. Horny Teenagers Must Die!,3.2, (252),1h 24m
392. The American Backyard,6.0, (287),1h 47m
393. Cadi,6.3, (4.4K),2h 14m
394. Possessions,3.8, (896),1h 29m
395. Tsunami Sharks,2.7, (112),1h 10m
396. Death Streamer,3.0, (244),1h 12m
397. For Sale,4.9, (684),1h 55m
398. Salve Maria,6.4, (548),1h 51m
399. The Beldham,7.0, (49),1h 25m
400. Guna guna istri muda,5.2, (212),1h 38m
401. The Jack in the Box Rises,4.1, (857),1h 32m
402. Meathook,5.7, (17),1h 42m
403. Do Not Open,2.6, (292),1h 31m
404. Wineville,4.3, (308),1h 40m
405. The Devil's Disciples,8.0, (51),1h 22m
406. Last Night at Terrace Lanes,4.4, (665),1h 15m
407. The Vigil,7.4, (5),1h 37m
408. Dr. Sander's Sleep Cure,6.5, (1.3K),1h 42m
409. Ship of the Damned,2.8, (313),1h 28m
410. Scared to Death,6.6, (34),1h 38m
411. Jurassic Triangle,2.5, (296),1h 24m
412. Are You There?,6.1, (82),1h 28m
413. My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7, (11),55m
414. Mother Father Sister Brother Frank,5.8, (323),1h 25m
415. The Only Ones,7.1, (31),1h 17m
416. I Heart Willie,5.9, (124),1h 28m
417. Haze,6.4, (54),1h 16m
418. Vertical,5.2, (152),1h 51m
420. Alyad Palyad,6.9, (1.2K),2h 9m
421. The Killers,6.1, (80),1h 59m
422. Granny,7.3, (9),40m
423. Air Fryer Slaughter,6.1, (591),1h 30m
424. Solvent,7.2, (461),1h 34m
426. Nearing Death,5.7, (390),1h 36m
427. Yagna,7.1, (2.2K),2h 11m
428. The Ritual,3.6, (33),1h 40m
429. The Sin,5.3, (365),1h 43m
430. Replicator,3.8, (188),1h 15m
431. Geethanjali Malli Vachindi,4.8, (2.2K),2h 24m
432. The Bad Nun 3,3.2, (281),1h 12m
433. Bhootpori,5.7, (217),1h 50m
434. Family,6.8, (33),1h 35m
435. Haunted Universities 3,5.4, (331),1h 59m
436. Dead Name,9.0, (12),1h 24m
437. Pasar Setan,6.7, (64),1h 36m
438. Bring on the Damned!,4.9, (59),1h 54m
440. Soul Reaper,5.7, (341),1h 52m
441. The Hostage,4.8, (15),1h 27m
442. The Windigo,4.6, (728),1h 25m
444. The Captives,3.6, (76),1h 13m
445. In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,8.0, (177),6h 3m
446. Till Death Do Us Part,6.3, (286),1h 48m
447. Love Me If You Dare,4.4, (488),2h 8m
448. Aiden,2.1, (140),1h 14m
449. Lopaliki Ra Chepta,7.7, (1.5K),1h 52m
450. Invited,5.2, (261),1h 11m
451. Hu Die Da Shia,4.3, (66),1h 42m
452. The Family Business,8.8, (31),1h 29m
453. Chainsaws Were Singing,7.2, (393),1h 57m
454. Remnant,2.6, (337),1h 52m
455. Curse of the Sin Eater,4.9, (831),1h 30m
457. Custom,6.6, (48),1h 16m
458. Blood Debt,5.3, (230),1h 40m
459. Rita,5.7, (308),1h 47m
460. Mountain Shark,3.6, (178),1h 21m
461. In Our Blood,6.8, (52),1h 29m
462. Night Shoot,5.5, (102),1h 38m
463. Clown II,7.6, (16),2h 21m
464. Darah Nyai,7.4, (7),1h 30m
465. American Werewolf,1.6, (126),1h 7m
466. Virgo,4.8, (113),1h 27m
467. Where is My Head?,6.8, (84),1h 30m
469. Salem Witch Doll,2.3, (152),1h 16m
470. Temurun,4.6, (367),1h 26m
471. Dreams of flesh,5.7, (14),1h
472. SinÉl,5.1, (31),1h 12m
473. You Shall Not Sleep Tonight,4.0, (406),1h 17m
476. They Turned Us Into Killers,2.7, (271),1h 26m
477. Spring Garden,4.5, (221),1h 30m
478. House of Ashes,6.5, (46),1h 35m
479. The Redemption of Sin,5.7, (253),1h 56m
480. Hide and Seek,4.9, (166),1h 24m
481. Slashercise,4.9, (16),58m
482. Perewangan,5.4, (188),1h 49m
484. Nyctophobia,6.7, (1.8K),1h 30m
485. Deadly Culture: Final Mutation,2.7, (59),1h 9m
486. Malice,2.8, (49),1h 34m
487. Whisper of the Witch,3.9, (347),1h 35m
488. A Stranger in the Woods,4.8, (713),1h 23m
489. Betting with Ghost,6.5, (101),1h 52m
490. History of Evil,3.4, (836),1h 38m
491. THEDÆMON,6.7, (46),1h 27m
492. Book of the Dead,5.3, (81),1h 30m
493. Shark Girl,2.6, (194),1h 22m
"494. Spider Baby, or The Maddest Story Ever Told",5.0, (108),1h 12m
"495. Hemet, or the Landlady Don't Drink Tea",4.3, (102),1h 29m
497. Killer Influence,2.6, (333),1h 24m
"499. Nanay, tatay",7.0, (74),2h
500. Trinil,4.5, (387),1h 45m
501. Psychopomp,9.0, (6),1h 36m
502. Our Happy Place,9.3, (37),1h 30m
503. Father's Haunted House,5.9, (371),1h 33m
504. H. P. Lovecraft's the Old Ones,3.6, (422),1h 24m
505. Crust,6.0, (255),1h 42m
